buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-02-03,"{'RELAXO.NS': 0.23807619238076194, 'ABBOTINDIA.NS': 0.17438256174382563, 'TANLA.NS': 0.13068693130686931, 'NAUKRI.NS': 0.12078792120787922, 'ASTRAZEN.NS': 0.0827917208279172, 'ICICIGI.NS': 0.0947905209479052, 'COFORGE.NS': 0.06839316068393161, 'LALPATHLAB.NS': 0.09009099090090991}",107832.69,107496.69
2020-02-03,2020-03-02,"{'RELAXO.NS': 0.24997500249974997, 'GMMPFAUDLR.NS': 0.17288271172882708, 'PIIND.NS': 0.16458354164583539, 'IGL.NS': 0.10138986101389859, 'SRF.NS': 0.09539046095390459, 'IPCALAB.NS': 0.08519148085191479, 'TANLA.NS': 0.06689331066893309, 'NAUKRI.NS': 0.0636936306369363}",106491.88,105816.06
2020-03-02,2020-04-01,"{'ABBOTINDIA.NS': 0.2499500099980004, 'TRENT.NS': 0.14307138572285544, 'GMMPFAUDLR.NS': 0.1227754449110178, 'ATUL.NS': 0.13427314537092583, 'RELAXO.NS': 0.115876824635073, 'JBCHEPHARM.NS': 0.10617876424715057, 'MCX.NS': 0.07248550289942012, 'ORIENTELEC.NS': 0.055388922215556885}",90989.92,90084.48
2020-04-01,2020-05-04,"{'ABBOTINDIA.NS': 0.24997500249975002, 'GMMPFAUDLR.NS': 0.23927607239276075, 'IPCALAB.NS': 0.1933806619338066, 'RELAXO.NS': 0.11248875112488751, 'JBCHEPHARM.NS': 0.10518948105189481, 'NESTLEIND.NS': 0.05039496050394961, 'DMART.NS': 0.027297270272972705, 'FINEORG.NS': 0.021997800219978002}",108458.86,107051.59
2020-05-04,2020-06-01,"{'GMMPFAUDLR.NS': 0.2499500099980004, 'ABBOTINDIA.NS': 0.2499500099980004, 'NAVINFLUOR.NS': 0.2499500099980004, 'IPCALAB.NS': 0.1262747450509898, 'DMART.NS': 0.05358928214357129, 'JBCHEPHARM.NS': 0.037692461507698456, 'TANLA.NS': 0.03259348130373925}",110511.1,108741.2
2020-06-01,2020-07-01,"{'ADANIGREEN.NS': 0.24997500249975002, 'GMMPFAUDLR.NS': 0.24997500249975002, 'ABBOTINDIA.NS': 0.2288771122887711, 'NAVINFLUOR.NS': 0.1320867913208679, 'JBCHEPHARM.NS': 0.10718928107189282, 'IOLCP.NS': 0.0318968103189681}",122303.62,120014.86
2020-07-01,2020-08-03,"{'ADANIGREEN.NS': 0.25, 'GMMPFAUDLR.NS': 0.25, 'NAVINFLUOR.NS': 0.15, 'JBCHEPHARM.NS': 0.0963, 'IPCALAB.NS': 0.0945, 'ALKYLAMINE.NS': 0.092, 'ISEC.NS': 0.0672}",124850.77,122150.34
2020-08-03,2020-09-01,"{'GMMPFAUDLR.NS': 0.25035049068696175, 'ALKYLAMINE.NS': 0.25035049068696175, 'DIXON.NS': 0.25035049068696175, 'NAVINFLUOR.NS': 0.24894852793911476}",151560.77,147938.62
2020-09-01,2020-10-01,"{'ADANIGREEN.NS': 0.24997500249975002, 'TANLA.NS': 0.24997500249975002, 'ALKYLAMINE.NS': 0.24997500249975002, 'GMMPFAUDLR.NS': 0.145985401459854, 'DIXON.NS': 0.1040895910408959}",177021.73,172381.09
2020-10-01,2020-11-02,"{'ADANIGREEN.NS': 0.25000000000000006, 'TANLA.NS': 0.25000000000000006, 'TIPSINDLTD.NS': 0.22030000000000002, 'ALKYLAMINE.NS': 0.16780000000000003, 'DIXON.NS': 0.044800000000000006, 'NAVINFLUOR.NS': 0.03610000000000001, 'JBCHEPHARM.NS': 0.031000000000000003}",182387.06,177129.77
