buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-04-01,"{'ISEC.NS': 0.20004000800160032, 'SCI.NS': 0.1998399679935987, 'ADANIGREEN.NS': 0.20004000800160032, 'AVANTIFEED.NS': 0.20004000800160032, 'AFFLE.NS': 0.20004000800160032}",64529.08,64284.08
2020-04-01,2020-07-01,"{'GMMPFAUDLR.NS': 0.2068650350360516, 'IPCALAB.NS': 0.20696658880877428, 'PATANJALI.NS': 0.17436782776480148, 'NAVINFLUOR.NS': 0.2068650350360516, 'JBCHEPHARM.NS': 0.20493551335432114}",156466.72,155567.66
2020-07-01,2020-10-01,"{'BCG.NS': 0.041666666666666664, 'SHARDACROP.NS': 0.041666666666666664, 'BAJAJHIND.NS': 0.041666666666666664, 'NETWORK18.NS': 0.041666666666666664, 'TATACOMM.NS': 0.041666666666666664, 'IOLCP.NS': 0.041666666666666664, 'IBULHSGFIN.NS': 0.041666666666666664, 'GLENMARK.NS': 0.041666666666666664, 'JISLJALEQS.NS': 0.041666666666666664, 'JPPOWER.NS': 0.041666666666666664, 'HATHWAY.NS': 0.041666666666666664, 'SUBEXLTD.NS': 0.041666666666666664, 'AARTIDRUGS.NS': 0.041666666666666664, 'JINDALSTEL.NS': 0.041666666666666664, 'RELINFRA.NS': 0.041666666666666664, 'RPOWER.NS': 0.041666666666666664, 'BLS.NS': 0.041666666666666664, 'IDBI.NS': 0.041666666666666664, 'RENUKA.NS': 0.041666666666666664, 'MARKSANS.NS': 0.041666666666666664, 'SWSOLAR.NS': 0.041666666666666664, 'DEN.NS': 0.041666666666666664, 'TV18BRDCST.NS': 0.041666666666666664, 'JPASSOCIAT.NS': 0.041666666666666664}",166223.03,164547.91
2020-10-01,2021-01-01,"{'ICIL.NS': 0.116410670978173, 'CGPOWER.NS': 0.20220291026677445, 'AARTIDRUGS.NS': 0.12439369442198868, 'MASTEK.NS': 0.15258690379951495, 'TANLA.NS': 0.20220291026677445, 'ADANIGREEN.NS': 0.20220291026677445}",272852.39,269562.71
2021-01-01,2021-04-01,"{'SURYAROSNI.NS': 0.2502020202020202, 'CGPOWER.NS': 0.2503030303030303, 'SUBEXLTD.NS': 0.2492929292929293, 'TANLA.NS': 0.2502020202020202}",346836.42,341970.74
2021-04-01,2021-07-01,"{'TTML.NS': 0.15267326732673267, 'INTELLECT.NS': 0.05306930693069307, 'DBREALTY.NS': 0.06118811881188119, 'HINDCOPPER.NS': 0.03188118811881188, 'PGEL.NS': 0.18841584158415842, 'HINDWAREAP.NS': 0.08297029702970297, 'POONAWALLA.NS': 0.030297029702970296, 'OLECTRA.NS': 0.07079207920792079, 'SAREGAMA.NS': 0.023762376237623763, 'ATGL.NS': 0.19801980198019803, 'ANANTRAJ.NS': 0.10693069306930693}",487389.24,479539.78
2021-07-01,2021-10-01,"{'HIKAL.NS': 0.017248215701823947, 'TTML.NS': 0.19825535289452814, 'DALMIASUG.NS': 0.06463124504361616, 'RAMKY.NS': 0.02339413164155432, 'PRAJIND.NS': 0.014472640761300554, 'TIDEWATER.NS': 0.0940721649484536, 'ELECON.NS': 0.026764472640761296, 'RPOWER.NS': 0.11122125297383027, 'TIPSINDLTD.NS': 0.19825535289452814, 'CARYSIL.NS': 0.053429817605075335, 'RTNINDIA.NS': 0.19825535289452814}",437501.11,429344.1
2021-10-01,2022-01-03,"{'BCG.NS': 0.19801980198019803, 'JSWENERGY.NS': 0.19801980198019803, 'LXCHEM.NS': 0.15425742574257426, 'FLUOROCHEM.NS': 0.19801980198019803, 'GANESHHOUC.NS': 0.02069306930693069, 'TEJASNET.NS': 0.010990099009900991, 'GLOBUSSPR.NS': 0.19801980198019803, 'SAKSOFT.NS': 0.021980198019801982}",490985.45,480767.25
2022-01-03,2022-04-01,"{'BCG.NS': 0.20202020202020204, 'CGPOWER.NS': 0.20202020202020204, 'OLECTRA.NS': 0.20202020202020204, 'JINDWORLD.NS': 0.19191919191919193, 'TTML.NS': 0.20202020202020204}",468587.67,457795.6
2022-04-01,2022-07-01,"{'GNFC.NS': 0.09334785191051279, 'SHARDACROP.NS': 0.12710354385270245, 'AWL.NS': 0.13720055434567416, 'GMDCLTD.NS': 0.16006731340328653, 'DBREALTY.NS': 0.1979805979014057, 'LINDEINDIA.NS': 0.134923777469808, 'RHIM.NS': 0.14937636111661062}",367782.82,358360.39
2022-07-01,2022-10-03,"{'VBL.NS': 0.08217821782178218, 'VOLTAMP.NS': 0.19801980198019803, 'CHENNPETRO.NS': 0.19217821782178218, 'CHOICEIN.NS': 0.19801980198019803, 'BLS.NS': 0.17297029702970296, 'ADANIPOWER.NS': 0.15663366336633663}",415045.6,403530.32
2022-10-03,2023-01-02,"{'FCL.NS': 0.20202020202020204, 'POWERMECH.NS': 0.20202020202020204, 'KKCL.NS': 0.19191919191919193, 'KRBL.NS': 0.20202020202020204, 'RAJRATAN.NS': 0.20202020202020204}",402961.59,390881.58
2023-01-02,2023-04-03,"{'UCOBANK.NS': 0.1757251757251757, 'RVNL.NS': 0.08306108306108306, 'TITAGARH.NS': 0.16641916641916643, 'JINDWORLD.NS': 0.08563508563508562, 'MAZDOCK.NS': 0.1500841500841501, 'FACT.NS': 0.13206613206613205, 'JSL.NS': 0.15305415305415304, 'SOUTHBANK.NS': 0.053955053955053955}",374223.87,362093.36
2023-04-03,2023-07-03,"{'ZENTEC.NS': 0.19801980198019803, 'JINDALSAW.NS': 0.19801980198019803, 'JBMA.NS': 0.19801980198019803, 'FINCABLES.NS': 0.19801980198019803, 'SONATSOFTW.NS': 0.009900990099009901, 'APARINDS.NS': 0.19801980198019803}",557672.59,538563.57
2023-07-03,2023-10-03,"{'TITAGARH.NS': 0.2, 'JINDALSAW.NS': 0.2, 'JBMA.NS': 0.2, 'GET&D.NS': 0.2, 'SAKSOFT.NS': 0.2}",752979.53,725783.19
2023-10-03,2023-12-29,"{'MAZDOCK.NS': 0.25, 'GET&D.NS': 0.25, 'BSE.NS': 0.25, 'JWL.NS': 0.25}",933747.77,898270.39
