buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-02-03,"{'HDFCAMC.NS': 0.24752475247524752, 'NAM-INDIA.NS': 0.24752475247524752, 'ADANIGREEN.NS': 0.24752475247524752, 'CREDITACC.NS': 0.24752475247524752, 'ABBOTINDIA.NS': 0.009900990099009901}",101519.74,101234.74
2020-02-03,2020-03-02,"{'RELAXO.NS': 0.24752475247524752, 'ADANIGREEN.NS': 0.24752475247524752, 'AMBER.NS': 0.24752475247524752, 'BERGEPAINT.NS': 0.24752475247524752, 'IGL.NS': 0.009900990099009901}",92151.82,91618.12
2020-03-02,2020-04-01,"{'ABBOTINDIA.NS': 0.24752475247524752, 'ADANIGREEN.NS': 0.24752475247524752, 'AMBER.NS': 0.24752475247524752, 'MASFIN.NS': 0.24752475247524752, 'TRENT.NS': 0.009900990099009901}",78939.49,78227.31
2020-04-01,2020-05-04,"{'ABBOTINDIA.NS': 0.24752475247524752, 'ADANIGREEN.NS': 0.24752475247524752, 'AMBER.NS': 0.24752475247524752, 'ALKEM.NS': 0.24752475247524752, 'DIVISLAB.NS': 0.009900990099009901}",90073.51,89010.88
2020-05-04,2020-06-01,"{'ADANIGREEN.NS': 0.24897918534010557, 'GMMPFAUDLR.NS': 0.24897918534010557, 'NAVINFLUOR.NS': 0.24878000199183348, 'ABBOTINDIA.NS': 0.17836868837765163, 'ALKEM.NS': 0.07489293895030376}",96311.7,94905.48
2020-06-01,2020-07-01,"{'ADANIGREEN.NS': 0.24752475247524752, 'GMMPFAUDLR.NS': 0.24752475247524752, 'JBCHEPHARM.NS': 0.24752475247524752, 'NAVINFLUOR.NS': 0.2207920792079208, 'IPCALAB.NS': 0.03663366336633663}",108228.55,106363.34
2020-07-01,2020-08-03,"{'ADANIGREEN.NS': 0.24752475247524752, 'GMMPFAUDLR.NS': 0.24752475247524752, 'JBCHEPHARM.NS': 0.24752475247524752, 'NAVINFLUOR.NS': 0.11841584158415841, 'GRANULES.NS': 0.08544554455445545, 'TIPSINDLTD.NS': 0.05356435643564356}",113361.61,111089.94
2020-08-03,2020-09-01,"{'ADANIGREEN.NS': 0.24754926230319832, 'GRANULES.NS': 0.24269729676205565, 'DIXON.NS': 0.22833943954847014, 'JBCHEPHARM.NS': 0.11654619269234577, 'ALKYLAMINE.NS': 0.06485790672343797, 'MUTHOOTFIN.NS': 0.04574710367363105, 'NAVINFLUOR.NS': 0.03475591642736905, 'PERSISTENT.NS': 0.019506881869492027}",132828.62,129790.85
2020-09-01,2020-10-01,"{'DIXON.NS': 0.2481882259505609, 'AARTIDRUGS.NS': 0.2481882259505609, 'TIPSINDLTD.NS': 0.1419636652437208, 'GRANULES.NS': 0.1309441080115159, 'ALKYLAMINE.NS': 0.10691948773950163, 'IPCALAB.NS': 0.043978953638439386, 'AFFLE.NS': 0.04050431847513154, 'JBCHEPHARM.NS': 0.03931301499056885}",160374.42,156282.68
2020-10-01,2020-11-02,"{'TANLA.NS': 0.24752475247524752, 'AARTIDRUGS.NS': 0.24752475247524752, 'LAURUSLABS.NS': 0.24752475247524752, 'MASTEK.NS': 0.24752475247524752, 'TIPSINDLTD.NS': 0.009900990099009901}",165493.07,160860.73
2020-11-02,2020-12-01,"{'TANLA.NS': 0.24752475247524752, 'LAURUSLABS.NS': 0.24752475247524752, 'MASTEK.NS': 0.24752475247524752, 'AARTIDRUGS.NS': 0.24752475247524752, 'TIPSINDLTD.NS': 0.009900990099009901}",212308.89,205906.12
2020-12-01,2021-01-01,"{'TANLA.NS': 0.24752475247524752, 'ICIL.NS': 0.24752475247524752, 'LAURUSLABS.NS': 0.24752475247524752, 'MASTEK.NS': 0.24752475247524752, 'AARTIDRUGS.NS': 0.009900990099009901}",230758.52,223274.35
2021-01-01,2021-02-01,"{'TANLA.NS': 0.24752475247524752, 'ADANIENT.NS': 0.24752475247524752, 'APLAPOLLO.NS': 0.24752475247524752, 'LAURUSLABS.NS': 0.24752475247524752, 'INTELLECT.NS': 0.009900990099009901}",239459.36,231138.0
2021-02-01,2021-03-01,"{'TATAELXSI.NS': 0.24752475247524752, 'TANLA.NS': 0.24752475247524752, 'APLAPOLLO.NS': 0.24752475247524752, 'ADANIENT.NS': 0.24752475247524752, 'ASHOKLEY.NS': 0.009900990099009901}",301606.96,290500.93
2021-03-01,2021-04-01,"{'ADANIENT.NS': 0.24752475247524752, 'TANLA.NS': 0.24752475247524752, 'ATGL.NS': 0.24752475247524752, 'TEJASNET.NS': 0.24752475247524752, 'TATAELXSI.NS': 0.009900990099009901}",384384.83,369460.68
2021-04-01,2021-05-03,"{'ADANIENT.NS': 0.24752475247524752, 'SAREGAMA.NS': 0.24752475247524752, 'INTELLECT.NS': 0.24752475247524752, 'ATGL.NS': 0.24752475247524752, 'TANLA.NS': 0.009900990099009901}",419793.24,402609.32
2021-05-03,2021-06-01,"{'INTELLECT.NS': 0.24752475247524752, 'LTTS.NS': 0.009900990099009901, 'CDSL.NS': 0.24752475247524752, 'PERSISTENT.NS': 0.24752475247524752, 'GRASIM.NS': 0.24752475247524752}",466984.06,446898.42
2021-06-01,2021-07-01,"{'ADANIENT.NS': 0.24752475247524752, 'SAREGAMA.NS': 0.24752475247524752, 'INTELLECT.NS': 0.24752475247524752, 'ATGL.NS': 0.24752475247524752, 'PRINCEPIPE.NS': 0.009900990099009901}",455923.19,435308.29
