buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-04-01,"{'GRSE.NS': 0.2, 'HDFCAMC.NS': 0.2, 'AAVAS.NS': 0.2, 'ICICIGI.NS': 0.2, 'LALPATHLAB.NS': 0.2}",74542.57,74287.57
2020-04-01,2020-07-01,"{'IPCALAB.NS': 0.2, 'GMMPFAUDLR.NS': 0.2, 'ADANIGREEN.NS': 0.2, 'ABBOTINDIA.NS': 0.2, 'FINEORG.NS': 0.2}",105572.01,104945.86
2020-07-01,2020-10-01,"{'NAVINFLUOR.NS': 0.19801980198019803, 'GRANULES.NS': 0.19801980198019803, 'GMMPFAUDLR.NS': 0.19801980198019803, 'ALKYLAMINE.NS': 0.19801980198019803, 'DIVISLAB.NS': 0.19801980198019803, 'ABBOTINDIA.NS': 0.009900990099009901}",144982.46,143774.57
2020-10-01,2021-01-01,"{'DEEPAKNTR.NS': 0.009900990099009901, 'NAVINFLUOR.NS': 0.19801980198019803, 'IPCALAB.NS': 0.19801980198019803, 'JBCHEPHARM.NS': 0.19801980198019803, 'GRANULES.NS': 0.19801980198019803, 'ALKYLAMINE.NS': 0.19801980198019803}",156118.45,154415.78
2021-01-01,2021-04-01,"{'DEEPAKNTR.NS': 0.19801980198019803, 'NAVINFLUOR.NS': 0.19801980198019803, 'JBCHEPHARM.NS': 0.19801980198019803, 'ALKYLAMINE.NS': 0.19801980198019803, 'DRREDDY.NS': 0.009900990099009901, 'DIVISLAB.NS': 0.19801980198019803}",198416.74,195796.75
2021-04-01,2021-07-01,"{'POLYMED.NS': 0.20151133501259444, 'DEEPAKNTR.NS': 0.20151133501259444, 'PERSISTENT.NS': 0.20151133501259444, 'PGEL.NS': 0.19395465994962213, 'DIXON.NS': 0.20151133501259444}",244873.37,241114.94
2021-07-01,2021-10-01,"{'SPLPETRO.NS': 0.20165355918531963, 'POWERINDIA.NS': 0.20165355918531963, 'GREENPANEL.NS': 0.20165355918531963, 'GPIL.NS': 0.1933857632587215, 'SUBEXLTD.NS': 0.20165355918531963}",235594.58,231413.57
2021-10-01,2022-01-03,"{'DEEPAKNTR.NS': 0.2, 'PERSISTENT.NS': 0.2, 'COSMOFIRST.NS': 0.2, 'RAJRATAN.NS': 0.2, 'DIXON.NS': 0.2}",260110.22,254914.14
2022-01-03,2022-04-01,"{'SAREGAMA.NS': 0.2, 'TATAELXSI.NS': 0.2, 'SHAREINDIA.NS': 0.2, 'CGPOWER.NS': 0.2, 'DIXON.NS': 0.2}",279061.25,272866.6
2022-04-01,2022-07-01,"{'TATAELXSI.NS': 0.25, 'SHAREINDIA.NS': 0.25, 'GREENPANEL.NS': 0.25, 'DBREALTY.NS': 0.25}",212500.94,207227.81
2022-07-01,2022-10-03,"{'SCHAEFFLER.NS': 0.1409050401029805, 'SHOPERSTOP.NS': 0.11228834538073076, 'RAYMOND.NS': 0.15268838498861273, 'FCL.NS': 0.1980394098425587, 'ADANIGREEN.NS': 0.1980394098425587, 'SIYSIL.NS': 0.1980394098425587}",280164.38,272618.21
2022-10-03,2023-01-02,"{'ADANIPOWER.NS': 0.25, 'SHOPERSTOP.NS': 0.25, 'SCHAEFFLER.NS': 0.25, 'FCL.NS': 0.25}",234140.39,227253.87
2023-01-02,2023-04-03,"{'JWL.NS': 0.25, 'BLS.NS': 0.25, 'ADANIENT.NS': 0.25, 'IIFL.NS': 0.25}",199719.64,193345.5
2023-04-03,2023-07-03,"{'APARINDS.NS': 0.25, 'JWL.NS': 0.25, 'CGPOWER.NS': 0.25, 'TITAGARH.NS': 0.25}",318071.77,307336.37
2023-07-03,2023-10-03,"{'APARINDS.NS': 0.25, 'SAKSOFT.NS': 0.25, 'CGPOWER.NS': 0.25, 'TITAGARH.NS': 0.25}",418524.02,403594.21
2023-10-03,2023-12-29,"{'GRAVITA.NS': 0.19801980198019803, 'KAYNES.NS': 0.009900990099009901, 'CGPOWER.NS': 0.19801980198019803, 'PGEL.NS': 0.19801980198019803, 'TITAGARH.NS': 0.19801980198019803, 'TI.NS': 0.19801980198019803}",512485.9,493172.23
