buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-04-01,"{'ICICIGI.NS': 0.18788121187881213, 'NESCO.NS': 0.12168783121687832, 'BRIGADE.NS': 0.08869113088691132, 'ICICIPRULI.NS': 0.12298770122987701, 'REDINGTON.NS': 0.025897410258974102, 'LALPATHLAB.NS': 0.1782821717828217, 'PIIND.NS': 0.15488451154884514, 'NAM-INDIA.NS': 0.11968803119688032}",77294.87,76982.87
2020-04-01,2020-07-01,"{'ABBOTINDIA.NS': 0.125, 'NESTLEIND.NS': 0.125, 'GALAXYSURF.NS': 0.125, 'NAM-INDIA.NS': 0.125, 'LALPATHLAB.NS': 0.125, 'GMMPFAUDLR.NS': 0.125, 'PIIND.NS': 0.125, 'TIMKEN.NS': 0.125}",96349.95,95657.03
2020-07-01,2020-10-01,"{'ABBOTINDIA.NS': 0.16666666666666666, 'ALKYLAMINE.NS': 0.16666666666666666, 'DIVISLAB.NS': 0.16666666666666666, 'GMMPFAUDLR.NS': 0.16666666666666666, 'NESTLEIND.NS': 0.16666666666666666, 'TORNTPHARM.NS': 0.16666666666666666}",112535.9,111420.58
2020-10-01,2021-01-01,"{'ALKYLAMINE.NS': 0.14285714285714285, 'DEEPAKNTR.NS': 0.14285714285714285, 'DIVISLAB.NS': 0.14285714285714285, 'DRREDDY.NS': 0.14285714285714285, 'IPCALAB.NS': 0.14285714285714285, 'JBCHEPHARM.NS': 0.14285714285714285, 'TORNTPHARM.NS': 0.14285714285714285}",123588.45,122013.59
2021-01-01,2021-04-01,"{'ALKYLAMINE.NS': 0.2, 'DEEPAKNTR.NS': 0.2, 'DIVISLAB.NS': 0.2, 'DRREDDY.NS': 0.2, 'JBCHEPHARM.NS': 0.2}",153173.98,150862.12
2021-04-01,2021-07-01,"{'AUBANK.NS': 0.125, 'AAVAS.NS': 0.125, 'ADANIGREEN.NS': 0.125, 'ALKYLAMINE.NS': 0.125, 'APOLLOHOSP.NS': 0.125, 'ASTRAL.NS': 0.125, 'ATUL.NS': 0.125, 'BALRAMCHIN.NS': 0.125}",187489.44,184187.66
2021-07-01,2021-10-01,"{'ALKYLAMINE.NS': 0.125, 'SRF.NS': 0.125, 'DEEPAKNTR.NS': 0.125, 'AAVAS.NS': 0.125, 'CGCL.NS': 0.125, 'APOLLOHOSP.NS': 0.125, 'ATUL.NS': 0.125, 'AARTIIND.NS': 0.125}",214885.17,210564.94
2021-10-01,2022-01-03,"{'LALPATHLAB.NS': 0.125, 'ALKYLAMINE.NS': 0.125, 'ASTRAL.NS': 0.125, 'DIXON.NS': 0.125, 'DEEPAKNTR.NS': 0.125, 'SRF.NS': 0.125, 'AARTIIND.NS': 0.125, 'NAM-INDIA.NS': 0.125}",221908.64,216879.2
2022-01-03,2022-04-01,"{'DIXON.NS': 0.125, 'ASTRAL.NS': 0.125, 'TRENT.NS': 0.125, 'SONATSOFTW.NS': 0.125, 'SRF.NS': 0.125, 'RELAXO.NS': 0.125, 'APOLLOHOSP.NS': 0.125, 'AARTIIND.NS': 0.125}",207054.47,201801.69
2022-04-01,2022-07-01,"{'ABFRL.NS': 0.125, 'BEL.NS': 0.125, 'FCL.NS': 0.125, 'GRAVITA.NS': 0.125, 'GREENLAM.NS': 0.125, 'GREENPANEL.NS': 0.125, 'POWERINDIA.NS': 0.125, 'INFY.NS': 0.125}",182041.32,176903.1
2022-07-01,2022-10-03,"{'ADANIGREEN.NS': 0.125, 'BEL.NS': 0.125, 'FINEORG.NS': 0.125, 'FCL.NS': 0.125, 'MAHSEAMLES.NS': 0.125, 'RAYMOND.NS': 0.125, 'SCHAEFFLER.NS': 0.125, 'SHOPERSTOP.NS': 0.125}",251436.26,243771.33
2022-10-03,2023-01-02,"{'ADANIPOWER.NS': 0.125, 'AUTOAXLES.NS': 0.125, 'BDL.NS': 0.125, 'BEL.NS': 0.125, 'FINEORG.NS': 0.125, 'FCL.NS': 0.125, 'JWL.NS': 0.125, 'MAHSEAMLES.NS': 0.125}",243261.21,235221.49
2023-01-02,2023-04-03,"{'ADANIENT.NS': 0.125, 'AUTOAXLES.NS': 0.125, 'BLS.NS': 0.125, 'BDL.NS': 0.125, 'HAL.NS': 0.125, 'IIFL.NS': 0.125, 'JWL.NS': 0.125, 'PHOENIXLTD.NS': 0.125}",231994.4,223719.05
2023-04-03,2023-07-03,"{'APARINDS.NS': 0.125, 'AUTOAXLES.NS': 0.125, 'CGPOWER.NS': 0.125, 'CIEINDIA.NS': 0.125, 'JWL.NS': 0.125, 'PRICOLLTD.NS': 0.125, 'TI.NS': 0.125, 'TITAGARH.NS': 0.125}",322042.69,309867.27
2023-07-03,2023-10-03,"{'ACE.NS': 0.125, 'APARINDS.NS': 0.125, 'BLUESTARCO.NS': 0.125, 'CCL.NS': 0.125, 'CGPOWER.NS': 0.125, 'CUMMINSIND.NS': 0.125, 'FINCABLES.NS': 0.125, 'GRAVITA.NS': 0.125}",399522.34,383561.66
2023-10-03,2023-12-29,"{'CGPOWER.NS': 0.125, 'PRICOLLTD.NS': 0.125, 'KEI.NS': 0.125, 'VBL.NS': 0.125, 'APARINDS.NS': 0.125, 'TI.NS': 0.125, 'POLYCAB.NS': 0.125, 'PGEL.NS': 0.125}",466094.36,446474.17
