buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-04-01,"{'GRSE.NS': 0.3206679332066793, 'HDFCAMC.NS': 0.0807919208079192, 'AAVAS.NS': 0.3999600039996001, 'ICICIGI.NS': 0.12278772122787722, 'LALPATHLAB.NS': 0.07579242075792421}",69769.33,69519.33
2020-04-01,2020-07-01,"{'NESTLEIND.NS': 0.0911, 'IPCALAB.NS': 0.1603, 'ADANIGREEN.NS': 0.2077, 'ABBOTINDIA.NS': 0.4, 'FINEORG.NS': 0.1409}",90290.45,89721.92
2020-07-01,2020-10-01,"{'NAVINFLUOR.NS': 0.14907018596280744, 'GRANULES.NS': 0.023695260947810437, 'GMMPFAUDLR.NS': 0.39992001599680066, 'ALKYLAMINE.NS': 0.19906018796240751, 'DIVISLAB.NS': 0.1933613277344531, 'ABBOTINDIA.NS': 0.034893021395720855}",108382.47,107400.02
2020-10-01,2021-01-01,"{'NAVINFLUOR.NS': 0.09708058388322337, 'IPCALAB.NS': 0.2709458108378325, 'JBCHEPHARM.NS': 0.24985002999400122, 'GRANULES.NS': 0.08978204359128175, 'ALKYLAMINE.NS': 0.2923415316936613}",116692.07,115324.3
2021-01-01,2021-04-01,"{'DEEPAKNTR.NS': 0.1475, 'NAVINFLUOR.NS': 0.227, 'JBCHEPHARM.NS': 0.303, 'ALKYLAMINE.NS': 0.2439, 'DIVISLAB.NS': 0.0786}",150946.26,148826.99
2021-04-01,2021-07-01,"{'PERSISTENT.NS': 0.3999600039996001, 'PRINCEPIPE.NS': 0.23777622237776225, 'LALPATHLAB.NS': 0.36226377362263773}",218621.47,215132.05
2021-07-01,2021-10-01,"{'SPLPETRO.NS': 0.22957704229577042, 'POWERINDIA.NS': 0.31386861313868614, 'GALAXYSURF.NS': 0.08769123087691232, 'GREENPANEL.NS': 0.3388661133886611, 'ECLERX.NS': 0.029997000299970003}",266696.08,261869.34
2021-10-01,2022-01-03,"{'PERSISTENT.NS': 0.26234104335636327, 'COSMOFIRST.NS': 0.10804045258836487, 'RAJRATAN.NS': 0.35406027836187043, 'DIXON.NS': 0.27555822569340144}",301760.65,295663.3
2022-01-03,2022-04-01,"{'COFORGE.NS': 0.0483951604839516, 'SHAREINDIA.NS': 0.3999600039996001, 'FCL.NS': 0.0763923607639236, 'CGPOWER.NS': 0.3999600039996001, 'LTTS.NS': 0.07529247075292471}",323661.94,316412.05
2022-04-01,2022-07-01,"{'JINDWORLD.NS': 0.08529147085291469, 'TATAELXSI.NS': 0.31036896310368955, 'SHAREINDIA.NS': 0.15748425157484247, 'GREENPANEL.NS': 0.340965903409659, 'FLUOROCHEM.NS': 0.10588941105889409}",275316.67,268469.69
2022-07-01,2022-10-03,"{'SHOPERSTOP.NS': 0.0347965203479652, 'SCHAEFFLER.NS': 0.3484651534846515, 'MAHSEAMLES.NS': 0.1140885911408859, 'FCL.NS': 0.24127587241275872, 'ADANIGREEN.NS': 0.26137386261373863}",392532.63,382020.55
2022-10-03,2023-01-02,"{'ADANIPOWER.NS': 0.3089, 'SCHAEFFLER.NS': 0.4, 'BEL.NS': 0.1212, 'MAHSEAMLES.NS': 0.1699}",341782.71,331829.72
2023-01-02,2023-04-03,"{'HAL.NS': 0.1663, 'VBL.NS': 0.1398, 'BLS.NS': 0.2939, 'ADANIENT.NS': 0.4}",270216.48,261671.56
2023-04-03,2023-07-03,"{'VBL.NS': 0.11528847115288471, 'APARINDS.NS': 0.2044795520447955, 'JWL.NS': 0.152984701529847, 'CGPOWER.NS': 0.30266973302669736, 'TITAGARH.NS': 0.22457754224577542}",405979.83,392381.73
2023-07-03,2023-10-03,"{'KPITTECH.NS': 0.0657, 'SAKSOFT.NS': 0.1099, 'VBL.NS': 0.0763, 'APARINDS.NS': 0.2182, 'CGPOWER.NS': 0.2786, 'TITAGARH.NS': 0.2513}",533334.67,514432.88
2023-10-03,2023-12-29,"{'KAYNES.NS': 0.2826717328267173, 'KPITTECH.NS': 0.054394560543945605, 'KEI.NS': 0.0241975802419758, 'VBL.NS': 0.09269073092690731, 'CGPOWER.NS': 0.16168383161683833, 'TITAGARH.NS': 0.21597840215978403, 'TI.NS': 0.1683831616838316}",634283.86,610523.35
