buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-04-01,"{'NAUKRI.NS': 0.39603960396039606, 'WHIRLPOOL.NS': 0.39603960396039606, 'SRF.NS': 0.2079207920792079}",77307.36,77079.36
2020-04-01,2020-07-01,"{'HINDUNILVR.NS': 0.39603960396039606, 'IPCALAB.NS': 0.39603960396039606, 'DMART.NS': 0.2079207920792079}",84484.93,84025.76
2020-07-01,2020-10-01,"{'IOLCP.NS': 0.39757479375807575, 'ALKYLAMINE.NS': 0.2762150879634231, 'GMMPFAUDLR.NS': 0.24868303349567636, 'SONATSOFTW.NS': 0.07752708478282477}",112311.87,111437.46
2020-10-01,2021-01-01,"{'IPCALAB.NS': 0.2079207920792079, 'DIVISLAB.NS': 0.39603960396039606, 'JBCHEPHARM.NS': 0.39603960396039606}",124956.73,123695.87
2021-01-01,2021-04-01,"{'ASTRAL.NS': 0.39603960396039606, 'BAJFINANCE.NS': 0.39603960396039606, 'PGHL.NS': 0.2079207920792079}",136052.61,134367.79
2021-04-01,2021-07-01,"{'DEEPAKNTR.NS': 0.39603960396039606, 'LINDEINDIA.NS': 0.39603960396039606, 'TIINDIA.NS': 0.2079207920792079}",140548.77,138481.27
2021-07-01,2021-10-01,"{'DALMIASUG.NS': 0.39603960396039606, 'SONATSOFTW.NS': 0.29029702970297033, 'ALKYLAMINE.NS': 0.28059405940594057, 'CGCL.NS': 0.03306930693069307}",147624.97,145097.38
2021-10-01,2022-01-03,"{'SRF.NS': 0.39603960396039606, 'GODREJPROP.NS': 0.39603960396039606, 'BRIGADE.NS': 0.2079207920792079}",150360.71,147438.28
2022-01-03,2022-04-01,"{'NEOGEN.NS': 0.39603960396039606, 'UNOMINDA.NS': 0.39603960396039606, 'NH.NS': 0.2079207920792079}",144667.16,141510.39
2022-04-01,2022-07-01,"{'LINDEINDIA.NS': 0.39603960396039606, 'ADANIPOWER.NS': 0.3562376237623762, 'TATAELXSI.NS': 0.1779207920792079, 'ADANIGREEN.NS': 0.0698019801980198}",148913.62,145304.19
2022-07-01,2022-10-03,"{'ELECON.NS': 0.39600039600039605, 'ADANIPOWER.NS': 0.3325413325413325, 'VBL.NS': 0.20433620433620434, 'VRLLOG.NS': 0.06712206712206713}",192893.1,187809.68
2022-10-03,2023-01-02,"{'FCL.NS': 0.39603960396039606, 'SAFARI.NS': 0.39603960396039606, 'ADANIENT.NS': 0.2079207920792079}",175634.64,170589.04
2023-01-02,2023-04-03,"{'RAYMOND.NS': 0.39603960396039606, 'NAVA.NS': 0.3706930693069307, 'VBL.NS': 0.14762376237623764, 'RHIM.NS': 0.08564356435643564}",150442.41,145728.53
2023-04-03,2023-07-03,"{'KPITTECH.NS': 0.39603960396039606, 'APARINDS.NS': 0.39603960396039606, 'SAFARI.NS': 0.2079207920792079}",204451.58,197640.41
2023-07-03,2023-10-03,"{'PFC.NS': 0.39603960396039606, 'ELECON.NS': 0.39603960396039606, 'SAFARI.NS': 0.2079207920792079}",276953.21,267195.7
2023-10-03,2023-12-29,"{'APARINDS.NS': 0.39603960396039606, 'GRAVITA.NS': 0.39603960396039606, 'POLYCAB.NS': 0.2079207920792079}",315601.84,303840.68
