buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-04-01,"{'RELAXO.NS': 0.27997200279972007, 'WHIRLPOOL.NS': 0.15848415158484153, 'ALKYLAMINE.NS': 0.1494850514948505, 'RELIANCE.NS': 0.12208779122087791, 'PHOENIXLTD.NS': 0.11008899110088992, 'BERGEPAINT.NS': 0.08159184081591841, 'NESCO.NS': 0.042695730426957304, 'BALRAMCHIN.NS': 0.055594440555944404}",83542.0,83230.0
2020-04-01,2020-07-01,"{'GMMPFAUDLR.NS': 0.3999600039996001, 'IPCALAB.NS': 0.29357064293570645, 'JBCHEPHARM.NS': 0.23487651234876514, 'NAVINFLUOR.NS': 0.0715928407159284}",120653.93,119931.33
2020-07-01,2020-10-01,"{'ALKYLAMINE.NS': 0.14285714285714285, 'ALOKINDS.NS': 0.14285714285714285, 'DEEPAKNTR.NS': 0.14285714285714285, 'DIVISLAB.NS': 0.14285714285714285, 'DRREDDY.NS': 0.14285714285714285, 'GMMPFAUDLR.NS': 0.14285714285714285, 'IOLCP.NS': 0.14285714285714285}",149504.51,148224.12
2020-10-01,2021-01-01,"{'PAISALO.NS': 0.3265346930613877, 'APOLLOHOSP.NS': 0.2956408718256349, 'DEEPAKNTR.NS': 0.25834833033393323, 'COFORGE.NS': 0.11947610477904419}",199827.5,197700.13
2021-01-01,2021-04-01,"{'BAJFINANCE.NS': 0.39992001599680066, 'PGHL.NS': 0.20205958808238353, 'LTIM.NS': 0.1844631073785243, 'ASTRAL.NS': 0.16616676664667065, 'ASIANPAINT.NS': 0.047390521895620874}",207891.09,205187.87
2021-04-01,2021-07-01,"{'DEEPAKNTR.NS': 0.3999600039996001, 'LINDEINDIA.NS': 0.3999600039996001, 'ALKYLAMINE.NS': 0.10098990100989902, 'TIINDIA.NS': 0.09909009099090091}",227915.1,224451.51
2021-07-01,2021-10-01,"{'DALMIASUG.NS': 0.3999600039996001, 'TRIVENI.NS': 0.3999600039996001, 'LAURUSLABS.NS': 0.20007999200079993}",218519.2,214703.4
2021-10-01,2022-01-03,"{'SRF.NS': 0.39992001599680066, 'BRIGADE.NS': 0.20375924815036994, 'NAUKRI.NS': 0.19356128774245152, 'JUBLFOOD.NS': 0.1202759448110378, 'BAJFINANCE.NS': 0.08248350329934014}",226729.3,222240.13
2022-01-03,2022-04-01,"{'UNOMINDA.NS': 0.3999600039996001, 'KPRMILL.NS': 0.3999600039996001, 'NEOGEN.NS': 0.1640835916408359, 'GREENLAM.NS': 0.035996400359964}",197742.8,193335.55
2022-04-01,2022-07-01,"{'ADANIPOWER.NS': 0.3999600039996001, 'RHIM.NS': 0.3999600039996001, 'TATAELXSI.NS': 0.20007999200079993}",204137.63,199137.85
2022-07-01,2022-10-03,"{'ADANIPOWER.NS': 0.3999600039996001, 'HBLPOWER.NS': 0.3999600039996001, 'VBL.NS': 0.11118888111188881, 'WELCORP.NS': 0.08889111088891112}",242342.37,235894.87
2022-10-03,2023-01-02,"{'FCL.NS': 0.3999600039996001, 'ADANIENT.NS': 0.293970602939706, 'SHOPERSTOP.NS': 0.18358164183581643, 'PRICOLLTD.NS': 0.08589141085891411, 'TIINDIA.NS': 0.0365963403659634}",228202.34,221576.03
2023-01-02,2023-04-03,"{'RAYMOND.NS': 0.3999600039996001, 'CIEINDIA.NS': 0.22457754224577542, 'RHIM.NS': 0.19968003199680032, 'VBL.NS': 0.17578242175782424}",200963.47,194632.09
2023-04-03,2023-07-03,"{'ACE.NS': 0.3496, 'KPITTECH.NS': 0.2348, 'JSL.NS': 0.1549, 'JBMA.NS': 0.127, 'APARINDS.NS': 0.077, 'USHAMART.NS': 0.0567}",269378.27,260321.47
2023-07-03,2023-10-03,"{'SAKSOFT.NS': 0.3999600039996001, 'TITAGARH.NS': 0.3999600039996001, 'ELECON.NS': 0.20007999200079993}",340329.77,328227.5
2023-10-03,2023-12-29,"{'APARINDS.NS': 0.28657134286571345, 'POLYCAB.NS': 0.17608239176082394, 'NAVA.NS': 0.1513848615138486, 'JSL.NS': 0.1282871712828717, 'GRAVITA.NS': 0.12388761123887611, 'PFC.NS': 0.07189281071892811, 'TI.NS': 0.0618938106189381}",385357.33,370813.86
