buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-02-03,"{'ADANIGREEN.NS': 0.2499500099980004, 'POLYCAB.NS': 0.2499500099980004, 'CRISIL.NS': 0.2401519696060788, 'ISEC.NS': 0.1381723655268946, 'IGL.NS': 0.10237952409518097, 'LINDEINDIA.NS': 0.019396120775844832}",102952.26,102652.26
2020-02-03,2020-03-02,"{'RELAXO.NS': 0.24997500249975002, 'LINDEINDIA.NS': 0.0958904109589041, 'AMBER.NS': 0.24997500249975002, 'ADANIGREEN.NS': 0.24997500249975002, 'ISEC.NS': 0.15418458154184583}",92461.18,91911.75
2020-03-02,2020-04-01,"{'RATNAMANI.NS': 0.24997500249975002, 'COROMANDEL.NS': 0.2086791320867913, 'ALKEM.NS': 0.20307969203079693, 'MUTHOOTFIN.NS': 0.11388861113888611, 'MASFIN.NS': 0.101989801019898, 'DEEPAKNTR.NS': 0.060193980601939805, 'BHARTIARTL.NS': 0.03569643035696431, 'TIPSINDLTD.NS': 0.0264973502649735}",70230.88,69517.55
2020-04-01,2020-05-04,"{'IPCALAB.NS': 0.24997500249975002, 'JBCHEPHARM.NS': 0.24997500249975002, 'ALKEM.NS': 0.24997500249975002, 'RTNINDIA.NS': 0.14038596140385962, 'NAVINFLUOR.NS': 0.10968903109689032}",77532.34,76514.85
2020-05-04,2020-06-01,"{'IPCALAB.NS': 0.25, 'NAVINFLUOR.NS': 0.25, 'GMMPFAUDLR.NS': 0.25, 'DRREDDY.NS': 0.25}",79088.99,77827.07
2020-06-01,2020-07-01,"{'IOLCP.NS': 0.24997500249975002, 'ZYDUSLIFE.NS': 0.22977702229777022, 'INDIACEM.NS': 0.15338466153384664, 'AUROPHARMA.NS': 0.13958604139586042, 'AARTIDRUGS.NS': 0.1317868213178682, 'GMMPFAUDLR.NS': 0.09549045095490451}",90167.45,88458.77
2020-07-01,2020-08-03,"{'AARTIDRUGS.NS': 0.125, 'PATANJALI.NS': 0.125, 'IOLCP.NS': 0.125, 'ALOKINDS.NS': 0.125, 'AUROPHARMA.NS': 0.125, 'INDIACEM.NS': 0.125, 'IPCALAB.NS': 0.125, 'JBCHEPHARM.NS': 0.125}",92696.19,90627.59
2020-08-03,2020-09-01,"{'PATANJALI.NS': 0.11898810118988101, 'AUROPHARMA.NS': 0.20517948205179481, 'IOLCP.NS': 0.24997500249975002, 'AARTIDRUGS.NS': 0.24997500249975002, 'MUTHOOTFIN.NS': 0.17588241175882413}",104372.05,101762.89
2020-09-01,2020-10-01,"{'SEQUENT.NS': 0.24997500249975002, 'HINDZINC.NS': 0.11388861113888611, 'TATACONSUM.NS': 0.24997500249975002, 'HINDALCO.NS': 0.1361863813618638, 'M&M.NS': 0.24997500249975002}",105997.06,103052.28
2020-10-01,2020-11-02,"{'TANLA.NS': 0.25, 'MASTEK.NS': 0.25, 'BSOFT.NS': 0.25, 'TIPSINDLTD.NS': 0.25}",103900.11,100737.59
2020-11-02,2020-12-01,"{'TANLA.NS': 0.25, 'ADANIENT.NS': 0.25, 'APLAPOLLO.NS': 0.25, 'GOKEX.NS': 0.25}",138556.26,134030.87
2020-12-01,2021-01-01,"{'TANLA.NS': 0.24997500249975002, 'ADANIENT.NS': 0.16978302169783022, 'INTELLECT.NS': 0.24997500249975002, 'HAVELLS.NS': 0.15008499150084992, 'APLAPOLLO.NS': 0.18018198180181982}",156653.63,151157.16
2021-01-01,2021-02-01,"{'TANLA.NS': 0.24997500249975002, 'TEJASNET.NS': 0.24997500249975002, 'CGPOWER.NS': 0.24997500249975002, 'SOMANYCERA.NS': 0.14388561143885611, 'ADANIENT.NS': 0.10618938106189381}",157170.16,151260.57
2021-02-01,2021-03-01,"{'CGCL.NS': 0.25199072674125594, 'SOMANYCERA.NS': 0.25199072674125594, 'IFBIND.NS': 0.25199072674125594, 'CENTURYPLY.NS': 0.11853643785908678, 'ADANIENT.NS': 0.08779356919665356, 'HAVELLS.NS': 0.03769781272049189}",170292.74,163463.74
2021-03-01,2021-04-01,"{'ADANIENT.NS': 0.24997500249975002, 'PDSL.NS': 0.24997500249975002, 'GREENPANEL.NS': 0.24997500249975002, 'CENTURYPLY.NS': 0.07899210078992101, 'INTELLECT.NS': 0.0714928507149285, 'ROUTE.NS': 0.05499450054994501, 'ADANIPORTS.NS': 0.04459554044595541}",190542.09,182425.06
2021-04-01,2021-05-03,"{'ADANIENT.NS': 0.25, 'INTELLECT.NS': 0.25, 'MAHLIFE.NS': 0.25, 'GRASIM.NS': 0.25}",188670.46,180189.16
2021-05-03,2021-06-01,"{'DEEPAKNTR.NS': 0.24997500249975002, 'DCMSHRIRAM.NS': 0.022197780221977804, 'PRAJIND.NS': 0.24997500249975002, 'VEDL.NS': 0.2278772122787721, 'GRAPHITE.NS': 0.24997500249975002}",202162.36,192599.56
