buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-02-03,"{'ADANIGREEN.NS': 0.24997500249975002, 'POLYCAB.NS': 0.24997500249975002, 'CRISIL.NS': 0.24997500249975002, 'ISEC.NS': 0.1518848115188481, 'IGL.NS': 0.07689231076892311, 'LINDEINDIA.NS': 0.0212978702129787}",102430.69,102130.69
2020-02-03,2020-03-02,"{'ADANIGREEN.NS': 0.24997500249974997, 'AMBER.NS': 0.24997500249974997, 'ISEC.NS': 0.1587841215878412, 'LINDEINDIA.NS': 0.09129087091290869, 'RELAXO.NS': 0.24997500249974997}",92064.97,91520.33
2020-03-02,2020-04-01,"{'RATNAMANI.NS': 0.24997500249975002, 'COROMANDEL.NS': 0.1935806419358064, 'ALKEM.NS': 0.1908809119088091, 'MASFIN.NS': 0.1160883911608839, 'MUTHOOTFIN.NS': 0.11128887111288871, 'DEEPAKNTR.NS': 0.06889311068893111, 'TIPSINDLTD.NS': 0.0337966203379662, 'BHARTIARTL.NS': 0.0354964503549645}",69332.31,68626.15
2020-04-01,2020-05-04,"{'IPCALAB.NS': 0.24997500249975002, 'JBCHEPHARM.NS': 0.24997500249975002, 'ALKEM.NS': 0.22547745225477453, 'NAVINFLUOR.NS': 0.1655834416558344, 'RTNINDIA.NS': 0.10898910108989102}",77701.34,76679.94
2020-05-04,2020-06-01,"{'IPCALAB.NS': 0.24997500249975002, 'NAVINFLUOR.NS': 0.24997500249975002, 'GMMPFAUDLR.NS': 0.24997500249975002, 'AUROPHARMA.NS': 0.20147985201479854, 'DEEPAKNTR.NS': 0.048595140485951406}",81073.86,79768.13
2020-06-01,2020-07-01,"{'IOLCP.NS': 0.24997500249975002, 'AARTIDRUGS.NS': 0.24997500249975002, 'AUROPHARMA.NS': 0.24997500249975002, 'GMMPFAUDLR.NS': 0.23587641235876414, 'ZYDUSLIFE.NS': 0.014198580141985802}",97241.34,95415.23
2020-07-01,2020-08-03,"{'AARTIDRUGS.NS': 0.125, 'PATANJALI.NS': 0.125, 'IOLCP.NS': 0.125, 'ALOKINDS.NS': 0.125, 'AUROPHARMA.NS': 0.125, 'INDIACEM.NS': 0.125, 'IPCALAB.NS': 0.125, 'JBCHEPHARM.NS': 0.125}",99968.47,97763.15
2020-08-03,2020-09-01,"{'IOLCP.NS': 0.3142381296546523, 'AARTIDRUGS.NS': 0.3142381296546523, 'EVEREADY.NS': 0.057285611036043106, 'HATHWAY.NS': 0.3142381296546523}",116939.29,114075.59
2020-09-01,2020-10-01,"{'AARTIDRUGS.NS': 0.25, 'LAURUSLABS.NS': 0.25, 'MASTEK.NS': 0.25, 'TANLA.NS': 0.25}",143981.09,140127.17
2020-10-01,2020-11-02,"{'BSOFT.NS': 0.25, 'MASTEK.NS': 0.25, 'TANLA.NS': 0.25, 'TIPSINDLTD.NS': 0.25}",141132.7,137003.02
