buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-11-02,2020-12-01,"{'APLAPOLLO.NS': 0.25, 'ADANIENT.NS': 0.25, 'SPLPETRO.NS': 0.25, 'AMBER.NS': 0.25}",209684.89,203360.05
2020-12-01,2021-01-01,"{'APLAPOLLO.NS': 0.24997500249975002, 'ADANIENT.NS': 0.14108589141085892, 'SPLPETRO.NS': 0.24997500249975002, 'CGCL.NS': 0.10898910108989102, 'CGPOWER.NS': 0.24997500249975002}",237858.72,230154.06
2021-01-01,2021-02-01,"{'APLAPOLLO.NS': 0.24997500249975002, 'ASIANPAINT.NS': 0.22457754224577542, 'ADANIENT.NS': 0.24997500249975002, 'SPLPETRO.NS': 0.24997500249975002, 'BERGEPAINT.NS': 0.0254974502549745}",242690.58,234264.41
2021-02-01,2021-03-01,"{'APLAPOLLO.NS': 0.24997500249975002, 'SPLPETRO.NS': 0.24347565243475652, 'ADANIENT.NS': 0.23477652234776525, 'CGCL.NS': 0.17708229177082294, 'HAVELLS.NS': 0.09469053094690531}",295221.33,284351.3
2021-03-01,2021-04-01,"{'ASHOKLEY.NS': 0.0263, 'ADANIENT.NS': 0.25, 'ADANIPORTS.NS': 0.2262, 'PDSL.NS': 0.0612, 'ROUTE.NS': 0.25, 'HAVELLS.NS': 0.1863}",308735.94,296666.3
2021-04-01,2021-05-03,"{'CHOLAFIN.NS': 0.046990601879624075, 'ADANIENT.NS': 0.2499500099980004, 'MAHLIFE.NS': 0.1796640671865627, 'LAXMIMACH.NS': 0.1933613277344531, 'ADANIPORTS.NS': 0.03749250149970006, 'PDSL.NS': 0.04259148170365927, 'INTELLECT.NS': 0.2499500099980004}",305278.09,292615.63
2021-05-03,2021-06-01,"{'ELECON.NS': 0.11958804119588042, 'CYIENT.NS': 0.11118888111188881, 'ADANIENT.NS': 0.24997500249975002, 'DEEPAKNTR.NS': 0.1827817218278172, 'SHAREINDIA.NS': 0.20077992200779923, 'PDSL.NS': 0.1356864313568643}",346899.21,331760.37
2021-06-01,2021-07-01,"{'ATGL.NS': 0.24997500249975002, 'ELECON.NS': 0.15998400159984003, 'ADANIENT.NS': 0.24997500249975002, 'SHAREINDIA.NS': 0.11688831116888311, 'RAJRATAN.NS': 0.22317768223177684}",391165.16,373274.53
2021-07-01,2021-08-02,"{'ELECON.NS': 0.1643835616438356, 'ADANIENT.NS': 0.24997500249975002, 'CYIENT.NS': 0.0641935806419358, 'PDSL.NS': 0.24997500249975002, 'RAJRATAN.NS': 0.24997500249975002, 'COSMOFIRST.NS': 0.0214978502149785}",470891.79,448394.72
2021-08-02,2021-09-01,"{'SAREGAMA.NS': 0.24997500249975002, 'CDSL.NS': 0.08849115088491151, 'PDSL.NS': 0.24997500249975002, 'RAJRATAN.NS': 0.24997500249975002, 'KPRMILL.NS': 0.1615838416158384}",420024.72,398982.85
2021-09-01,2021-10-01,"{'HIKAL.NS': 0.1293870612938706, 'ELECON.NS': 0.24997500249975002, 'JSWENERGY.NS': 0.24997500249975002, 'MASTEK.NS': 0.23177682231776822, 'COSMOFIRST.NS': 0.13888611138886112}",487029.26,461640.68
2021-10-01,2021-11-01,"{'SRF.NS': 0.17278272172782722, 'IRCTC.NS': 0.1857814218578142, 'PERSISTENT.NS': 0.14288571142885712, 'JSWENERGY.NS': 0.24997500249975002, 'MASTEK.NS': 0.2485751424857514}",478765.69,452757.89
2021-11-01,2021-12-01,"{'HGINFRA.NS': 0.24997500249974997, 'BRIGADE.NS': 0.0873912608739126, 'IRCTC.NS': 0.12778722127787218, 'MPHASIS.NS': 0.0348965103489651, 'MANINFRA.NS': 0.24997500249974997, 'GANESHHOUC.NS': 0.24997500249974997}",446916.11,421612.46
2021-12-01,2022-01-03,"{'TRIDENT.NS': 0.25, 'LODHA.NS': 0.25, 'PERSISTENT.NS': 0.25, 'LTTS.NS': 0.25}",463773.02,436538.96
2022-01-03,2022-02-01,"{'PERSISTENT.NS': 0.16178382161783822, 'UNOMINDA.NS': 0.0962903709629037, 'TRIDENT.NS': 0.24197580241975802, 'BCG.NS': 0.24997500249975002, 'CGPOWER.NS': 0.24997500249975002}",456057.29,428276.32
2022-02-01,2022-03-02,"{'TRIDENT.NS': 0.12668733126687332, 'ATGL.NS': 0.18038196180381963, 'JINDWORLD.NS': 0.24997500249975002, 'FLUOROCHEM.NS': 0.2298770122987701, 'CGPOWER.NS': 0.21307869213078692}",415399.9,389140.6
2022-03-02,2022-04-01,"{'GOKEX.NS': 0.1708829117088291, 'FLUOROCHEM.NS': 0.24997500249975002, 'JINDWORLD.NS': 0.24997500249975002, 'TRIDENT.NS': 0.20537946205379462, 'CGPOWER.NS': 0.1237876212378762}",438829.89,410154.47
2022-04-01,2022-05-02,"{'TRIVENI.NS': 0.09199080091990801, 'JINDWORLD.NS': 0.24997500249975002, 'GREENPANEL.NS': 0.23687631236876314, 'TRIDENT.NS': 0.1711828817118288, 'FLUOROCHEM.NS': 0.24997500249975002}",435155.19,405764.89
2022-05-02,2022-06-01,"{'TRIVENI.NS': 0.0827917208279172, 'FLUOROCHEM.NS': 0.24997500249975002, 'SCHAEFFLER.NS': 0.18698130186981302, 'POLYPLEX.NS': 0.24997500249975002, 'ADANIGREEN.NS': 0.23027697230276972}",404809.38,376548.63
2022-06-01,2022-07-01,"{'GOKEX.NS': 0.24997500249975002, 'SCHAEFFLER.NS': 0.20307969203079693, 'ADANIPOWER.NS': 0.24997500249975002, 'BLS.NS': 0.24997500249975002, 'SHARDACROP.NS': 0.046995300469953004}",360512.06,334493.82
2022-07-01,2022-08-01,"{'SCHAEFFLER.NS': 0.2512310320570797, 'BLS.NS': 0.2512310320570797, 'CHENNPETRO.NS': 0.12440960707466586, 'ADANIPOWER.NS': 0.010250226107928853, 'AWL.NS': 0.21696311928449402, 'SHOPERSTOP.NS': 0.1459149834187519}",431463.74,399436.9
2022-08-01,2022-09-01,"{'SCHAEFFLER.NS': 0.25, 'MAHSEAMLES.NS': 0.25, 'ADANIPOWER.NS': 0.25, 'BLS.NS': 0.25}",491362.19,453901.19
2022-09-01,2022-10-03,"{'ELECON.NS': 0.063993600639936, 'SCHAEFFLER.NS': 0.23057694230576942, 'MAHSEAMLES.NS': 0.24997500249975002, 'ADANIPOWER.NS': 0.24997500249975002, 'KKCL.NS': 0.2054794520547945}",455053.33,419330.48
2022-10-03,2022-11-01,"{'FINEORG.NS': 0.21787821217878214, 'VBL.NS': 0.06139386061393861, 'SCHAEFFLER.NS': 0.24997500249975002, 'METROBRAND.NS': 0.1155884411558844, 'TVSMOTOR.NS': 0.17368263173682633, 'CHOICEIN.NS': 0.05979402059794021, 'BLS.NS': 0.12168783121687832}",451921.62,415422.62
2022-11-01,2022-12-01,"{'SAFARI.NS': 0.21535692861427716, 'APARINDS.NS': 0.1234753049390122, 'CHOICEIN.NS': 0.2499500099980004, 'SHOPERSTOP.NS': 0.16126774645070985, 'BLS.NS': 0.2499500099980004}",451840.29,414362.86
2022-12-01,2023-01-02,"{'GESHIP.NS': 0.25000000000000006, 'INGERRAND.NS': 0.14840000000000003, 'UJJIVAN.NS': 0.060000000000000005, 'TITAGARH.NS': 0.07060000000000001, 'COCHINSHIP.NS': 0.22100000000000003, 'BLS.NS': 0.25000000000000006}",418685.24,382985.82
2023-01-02,2023-02-01,"{'KARURVYSYA.NS': 0.25, 'SOLARINDS.NS': 0.25, 'APARINDS.NS': 0.25, 'BLS.NS': 0.25}",413632.4,377463.81
2023-02-01,2023-03-01,"{'SOLARINDS.NS': 0.1335, 'SOUTHBANK.NS': 0.1223, 'APARINDS.NS': 0.2442, 'RVNL.NS': 0.25, 'BLS.NS': 0.25}",401963.62,365915.36
2023-03-01,2023-04-03,"{'SUPREMEIND.NS': 0.11098890110988902, 'BECTORFOOD.NS': 0.12498750124987501, 'APARINDS.NS': 0.24997500249975002, 'PNBHOUSING.NS': 0.014098590140985901, 'AEGISCHEM.NS': 0.24997500249975002, 'CGPOWER.NS': 0.24997500249975002}",412039.87,374175.97
2023-04-03,2023-05-02,"{'VBL.NS': 0.2499500099980004, 'KAYNES.NS': 0.03159368126374725, 'GPPL.NS': 0.23065386922615477, 'APARINDS.NS': 0.2499500099980004, 'SUNFLAG.NS': 0.23785242951409719}",420253.09,380719.45
2023-05-02,2023-06-01,"{'BECTORFOOD.NS': 0.1716, 'VBL.NS': 0.1573, 'APARINDS.NS': 0.25, 'SAKSOFT.NS': 0.2191, 'CIGNITITEC.NS': 0.202}",476255.78,430473.91
2023-06-01,2023-07-03,"{'SAFARI.NS': 0.24997500249975002, 'BECTORFOOD.NS': 0.24997500249975002, 'KAYNES.NS': 0.2096790320967903, 'SAKSOFT.NS': 0.1686831316868313, 'GRAVITA.NS': 0.12168783121687832}",529840.24,477817.36
2023-07-03,2023-08-01,"{'ACE.NS': 0.048534890746148425, 'BECTORFOOD.NS': 0.25173698519786525, 'RKFORGE.NS': 0.21961534588661766, 'KAYNES.NS': 0.14379216594502064, 'SAKSOFT.NS': 0.25173698519786525, 'SONATSOFTW.NS': 0.08458362702648274}",592665.92,533250.44
2023-08-01,2023-09-01,"{'ACE.NS': 0.24997500249975002, 'POWERMECH.NS': 0.24997500249975002, 'RECLTD.NS': 0.15438456154384564, 'GLENMARK.NS': 0.19658034196580343, 'ANANTRAJ.NS': 0.14908509149085092}",606827.37,544712.19
2023-09-01,2023-10-03,"{'ACE.NS': 0.24997500249975002, 'RECLTD.NS': 0.24997500249975002, 'RKFORGE.NS': 0.24997500249975002, 'ANANTRAJ.NS': 0.0760923907609239, 'GRAVITA.NS': 0.17398260173982602}",622258.41,557253.7
2023-10-03,2023-11-01,"{'RECLTD.NS': 0.24997500249975002, 'BSE.NS': 0.12088791120887911, 'MAZDOCK.NS': 0.24997500249975002, 'AUROPHARMA.NS': 0.0745925407459254, 'LUPIN.NS': 0.05459454054594541, 'GRAVITA.NS': 0.24997500249975002}",654942.74,585149.64
2023-11-01,2023-12-01,"{'SUZLON.NS': 0.25145845906256287, 'BSE.NS': 0.25145845906256287, 'NAM-INDIA.NS': 0.012472339569503117, 'IMFA.NS': 0.15892174612753973, 'MAPMYINDIA.NS': 0.07423053711526856, 'GRAVITA.NS': 0.25145845906256287}",795216.06,708926.92
2023-12-01,2023-12-29,"{'SUZLON.NS': 0.24997500249975002, 'BSE.NS': 0.24997500249975002, 'IMFA.NS': 0.18468153184681532, 'ASHOKA.NS': 0.0653934606539346, 'GRAVITA.NS': 0.24997500249975002}",760670.0,676489.46
