buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-02-03,"{'BAJFINANCE.NS': 0.0893910608939106, 'BATAINDIA.NS': 0.2490750924907509, 'ABBOTINDIA.NS': 0.24997500249975002, 'NESTLEIND.NS': 0.1713828617138286, 'COFORGE.NS': 0.17468253174682533, 'ASTRAZEN.NS': 0.0654934506549345}",106170.38,105864.38
2020-02-03,2020-03-02,"{'PGHL.NS': 0.09758048390321937, 'BAJFINANCE.NS': 0.026694661067786445, 'DIVISLAB.NS': 0.03289342131573685, 'BATAINDIA.NS': 0.20555888822235555, 'COFORGE.NS': 0.07998400319936014, 'NESTLEIND.NS': 0.14387122575484904, 'IPCALAB.NS': 0.16346730653869226, 'RELAXO.NS': 0.2499500099980004}",105096.3,104449.4
2020-03-02,2020-04-01,"{'BAJFINANCE.NS': 0.019796040791841635, 'DIVISLAB.NS': 0.07838432313537293, 'GMMPFAUDLR.NS': 0.15866826634673067, 'BATAINDIA.NS': 0.10037992401519696, 'ABBOTINDIA.NS': 0.2499500099980004, 'NESTLEIND.NS': 0.10687862427514497, 'TRENT.NS': 0.11037792441511697, 'RELAXO.NS': 0.17556488702259548}",91177.85,90288.62
2020-04-01,2020-05-04,"{'DIVISLAB.NS': 0.0660933906609339, 'GMMPFAUDLR.NS': 0.21717828217178284, 'ABBOTINDIA.NS': 0.24997500249975002, 'NESTLEIND.NS': 0.18498150184981502, 'IPCALAB.NS': 0.24297570242975702, 'RELAXO.NS': 0.03879612038796121}",109847.35,108476.04
2020-05-04,2020-06-01,"{'FINEORG.NS': 0.17838216178382163, 'DIVISLAB.NS': 0.04439556044395561, 'GMMPFAUDLR.NS': 0.24997500249975002, 'ABBOTINDIA.NS': 0.24997500249975002, 'NESTLEIND.NS': 0.028997100289971003, 'IPCALAB.NS': 0.24827517248275172}",109115.56,107435.39
2020-06-01,2020-07-01,"{'DIVISLAB.NS': 0.1476, 'GMMPFAUDLR.NS': 0.25, 'JBCHEPHARM.NS': 0.1825, 'ABBOTINDIA.NS': 0.2137, 'IPCALAB.NS': 0.2062}",110777.5,108771.74
2020-07-01,2020-08-03,"{'DIVISLAB.NS': 0.10207958408318336, 'GMMPFAUDLR.NS': 0.2499500099980004, 'MUTHOOTFIN.NS': 0.10297940411917617, 'JBCHEPHARM.NS': 0.2499500099980004, 'ABBOTINDIA.NS': 0.045090981803639275, 'IPCALAB.NS': 0.2499500099980004}",119203.7,116715.37
2020-08-03,2020-09-01,"{'NAVINFLUOR.NS': 0.1264, 'DIVISLAB.NS': 0.0841, 'MUTHOOTFIN.NS': 0.1287, 'JBCHEPHARM.NS': 0.25, 'TIINDIA.NS': 0.0418, 'TANLA.NS': 0.1276, 'IPCALAB.NS': 0.2414}",138298.53,135040.6
2020-09-01,2020-10-01,"{'DIVISLAB.NS': 0.0626874625074985, 'MUTHOOTFIN.NS': 0.06658668266346732, 'JBCHEPHARM.NS': 0.08988202359528094, 'TIINDIA.NS': 0.0603879224155169, 'TANLA.NS': 0.2499500099980004, 'ALKYLAMINE.NS': 0.2499500099980004, 'IPCALAB.NS': 0.19956008798240352, 'PIIND.NS': 0.020995800839832036}",155410.76,151325.71
2020-10-01,2020-11-02,"{'LALPATHLAB.NS': 0.0393, 'CREDITACC.NS': 0.0123, 'JBCHEPHARM.NS': 0.25, 'TANLA.NS': 0.25, 'IPCALAB.NS': 0.25, 'PIIND.NS': 0.1984}",171070.24,166147.57
