buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-02-03,"{'ADANIGREEN.NS': 0.39603960396039606, 'TANLA.NS': 0.39603960396039606, 'NAM-INDIA.NS': 0.2079207920792079}",107912.25,107654.25
2020-02-03,2020-03-02,"{'ADANIGREEN.NS': 0.39603960396039606, 'NAM-INDIA.NS': 0.39603960396039606, 'GRSE.NS': 0.2079207920792079}",103026.13,102518.81
2020-03-02,2020-04-01,"{'ADANIGREEN.NS': 0.39603960396039606, 'HDFCAMC.NS': 0.39603960396039606, 'GUJGASLTD.NS': 0.2079207920792079}",86625.19,85958.63
2020-04-01,2020-05-04,"{'ADANIGREEN.NS': 0.39603960396039606, 'GMMPFAUDLR.NS': 0.39603960396039606, 'ABBOTINDIA.NS': 0.2079207920792079}",116285.94,115139.15
2020-05-04,2020-06-01,"{'ADANIGREEN.NS': 0.39603960396039606, 'GMMPFAUDLR.NS': 0.39603960396039606, 'NAVINFLUOR.NS': 0.2079207920792079}",132770.82,131161.46
2020-06-01,2020-07-01,"{'ADANIGREEN.NS': 0.39603960396039606, 'GMMPFAUDLR.NS': 0.39603960396039606, 'ALKYLAMINE.NS': 0.12415841584158417, 'NAVINFLUOR.NS': 0.08376237623762375}",155559.03,153317.45
2020-07-01,2020-08-03,"{'ADANIGREEN.NS': 0.39603960396039606, 'GMMPFAUDLR.NS': 0.39603960396039606, 'ALKYLAMINE.NS': 0.10584158415841584, 'TIPSINDLTD.NS': 0.0706930693069307, 'DIXON.NS': 0.031386138613861386}",157855.07,155185.4
2020-08-03,2020-09-01,"{'ADANIGREEN.NS': 0.39603960396039606, 'AARTIDRUGS.NS': 0.39603960396039606, 'DIXON.NS': 0.2079207920792079}",224814.28,220580.19
2020-09-01,2020-10-01,"{'ADANIGREEN.NS': 0.3976143141153082, 'AARTIDRUGS.NS': 0.3976143141153082, 'TANLA.NS': 0.20477137176938368}",297764.03,291583.02
2020-10-01,2020-11-02,"{'ADANIGREEN.NS': 0.39603960396039606, 'AARTIDRUGS.NS': 0.3905940594059406, 'TANLA.NS': 0.2022772277227723, 'TIPSINDLTD.NS': 0.011089108910891089}",306520.58,299485.8
2020-11-02,2020-12-01,"{'ADANIGREEN.NS': 0.39603960396039606, 'TANLA.NS': 0.39603960396039606, 'AARTIDRUGS.NS': 0.2079207920792079}",457981.51,446657.64
2020-12-01,2021-01-01,"{'TANLA.NS': 0.39603960396039606, 'ADANIGREEN.NS': 0.39603960396039606, 'AARTIDRUGS.NS': 0.2079207920792079}",463316.96,450889.17
2021-01-01,2021-02-01,"{'TANLA.NS': 0.39603960396039606, 'LAURUSLABS.NS': 0.22455445544554456, 'AARTIDRUGS.NS': 0.13663366336633664, 'SUBEXLTD.NS': 0.13326732673267327, 'EVEREADY.NS': 0.06841584158415841, 'TIPSINDLTD.NS': 0.04108910891089109}",445576.83,432616.89
2021-02-01,2021-03-01,"{'TANLA.NS': 0.39600039600039605, 'LAURUSLABS.NS': 0.33184833184833185, 'ALKYLAMINE.NS': 0.14810414810414813, 'EVEREADY.NS': 0.062073062073062076, 'TIPSINDLTD.NS': 0.061974061974061974}",546296.88,529332.42
