buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-04-01,"{'RELAXO.NS': 0.33333333333333337, 'BERGEPAINT.NS': 0.33333333333333337, 'WHIRLPOOL.NS': 0.33333333333333337}",88330.57,88093.57
2020-04-01,2020-07-01,"{'DIVISLAB.NS': 0.15681615681615682, 'ABBOTINDIA.NS': 0.19800019800019802, 'NESTLEIND.NS': 0.13077913077913078, 'TORNTPHARM.NS': 0.09702009702009702, 'IPCALAB.NS': 0.19800019800019802, 'DEEPAKNTR.NS': 0.03237303237303237, 'ALKYLAMINE.NS': 0.18701118701118702}",112702.35,112084.96
2020-07-01,2020-10-01,"{'DIVISLAB.NS': 0.041093117408906886, 'IOLCP.NS': 0.20242914979757087, 'NESTLEIND.NS': 0.16072874493927128, 'GMMPFAUDLR.NS': 0.06356275303643726, 'IPCALAB.NS': 0.20242914979757087, 'TORNTPOWER.NS': 0.14412955465587046, 'JBCHEPHARM.NS': 0.1856275303643725}",139947.03,138809.39
2020-10-01,2021-01-01,"{'DRREDDY.NS': 0.009900990099009901, 'IOLCP.NS': 0.19801980198019803, 'SONATSOFTW.NS': 0.19801980198019803, 'COFORGE.NS': 0.19801980198019803, 'LTIM.NS': 0.19801980198019803, 'ALKYLAMINE.NS': 0.19801980198019803}",172265.47,170451.11
2021-01-01,2021-04-01,"{'TIINDIA.NS': 0.009900990099009901, 'COFORGE.NS': 0.19801980198019803, 'LTIM.NS': 0.19801980198019803, 'DEEPAKNTR.NS': 0.19801980198019803, 'ASTRAL.NS': 0.19801980198019803, 'TECHM.NS': 0.19801980198019803}",212614.73,209889.4
2021-04-01,2021-07-01,"{'DEEPAKNTR.NS': 0.25, 'CGCL.NS': 0.25, 'LINDEINDIA.NS': 0.25, 'TIINDIA.NS': 0.25}",234928.94,231405.58
2021-07-01,2021-10-01,"{'DALMIASUG.NS': 0.19191919191919193, 'SONATSOFTW.NS': 0.20202020202020204, 'TRIVENI.NS': 0.20202020202020204, 'COSMOFIRST.NS': 0.20202020202020204, 'ALKYLAMINE.NS': 0.20202020202020204}",268684.19,264069.58
2021-10-01,2022-01-03,"{'SRF.NS': 0.33333333333333337, 'BALRAMCHIN.NS': 0.33333333333333337, 'SONATSOFTW.NS': 0.33333333333333337}",278302.91,272926.1
2022-01-03,2022-04-01,"{'NEOGEN.NS': 0.33333333333333337, 'UNOMINDA.NS': 0.33333333333333337, 'KPRMILL.NS': 0.33333333333333337}",250788.51,245364.28
2022-04-01,2022-07-01,"{'TRIDENT.NS': 0.20202020202020204, 'JBMA.NS': 0.19414141414141414, 'GREENPANEL.NS': 0.20202020202020204, 'RHIM.NS': 0.20202020202020204, 'ADANIPOWER.NS': 0.1997979797979798}",227762.96,222276.74
2022-07-01,2022-10-03,"{'VBL.NS': 0.17021487275967917, 'PHOENIXLTD.NS': 0.04396474898504803, 'DEEPAKFERT.NS': 0.017130408951381324, 'SCHAEFFLER.NS': 0.09595009406871967, 'GAEL.NS': 0.013664719279136548, 'BDL.NS': 0.15922368551341717, 'CGCL.NS': 0.05178730567382909, 'HCG.NS': 0.032082384394494505, 'MAHLIFE.NS': 0.09812852757698781, 'SHOPERSTOP.NS': 0.11981384295474799, 'ADANIPOWER.NS': 0.1980394098425587}",301123.91,293155.61
2022-10-03,2023-01-02,"{'FCL.NS': 0.2, 'TDPOWERSYS.NS': 0.2, 'SCHAEFFLER.NS': 0.2, 'ELECON.NS': 0.2, 'ADANIPOWER.NS': 0.2}",277270.35,269273.26
2023-01-02,2023-04-03,"{'SAFARI.NS': 0.25, 'BLS.NS': 0.25, 'ADANIENT.NS': 0.25, 'RHIM.NS': 0.25}",235495.74,228123.52
2023-04-03,2023-07-03,"{'JBMA.NS': 0.19801980198019803, 'USHAMART.NS': 0.18673267326732673, 'GRAVITA.NS': 0.021188118811881186, 'TITAGARH.NS': 0.19801980198019803, 'APARINDS.NS': 0.19801980198019803, 'JSL.NS': 0.19801980198019803}",358717.41,346791.72
2023-07-03,2023-10-03,"{'APARINDS.NS': 0.25, 'TITAGARH.NS': 0.25, 'SAFARI.NS': 0.25, 'SAKSOFT.NS': 0.25}",490153.93,472942.59
2023-10-03,2023-12-29,"{'APARINDS.NS': 0.2, 'POLYCAB.NS': 0.2, 'NAVA.NS': 0.2, 'SAFARI.NS': 0.2, 'PFC.NS': 0.2}",549825.06,529398.42
