buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-02-03,"{'BERGEPAINT.NS': 0.25, 'POLYCAB.NS': 0.2057, 'ADANIGREEN.NS': 0.25, 'ABBOTINDIA.NS': 0.1551, 'RELAXO.NS': 0.0245, 'GLAXO.NS': 0.1147}",105525.09,105219.09
2020-02-03,2020-03-02,"{'AMBER.NS': 0.24997500249975002, 'ADANIGREEN.NS': 0.24997500249975002, 'RELAXO.NS': 0.24997500249975002, 'LINDEINDIA.NS': 0.022697730226977304, 'ISEC.NS': 0.2273772622737726}",95955.7,95392.45
2020-03-02,2020-04-01,"{'AFFLE.NS': 0.25, 'TIPSINDLTD.NS': 0.25, 'ALKYLAMINE.NS': 0.25, 'ISEC.NS': 0.25}",64022.85,63423.04
2020-04-01,2020-05-04,"{'COROMANDEL.NS': 0.24837516248375163, 'RTNINDIA.NS': 0.07739226077392261, 'IPCALAB.NS': 0.24997500249975002, 'JBCHEPHARM.NS': 0.24997500249975002, 'ALKEM.NS': 0.17428257174282574}",69860.76,68991.26
2020-05-04,2020-06-01,"{'DIVISLAB.NS': 0.17063572149344094, 'NAVINFLUOR.NS': 0.2522704339051463, 'TIPSINDLTD.NS': 0.23773965691220986, 'IPCALAB.NS': 0.2522704339051463, 'ALKEM.NS': 0.0870837537840565}",71361.67,70248.49
2020-06-01,2020-07-01,"{'NESTLEIND.NS': 0.027897210278972105, 'TIPSINDLTD.NS': 0.1628837116288371, 'FDC.NS': 0.20427957204279573, 'EVEREADY.NS': 0.10568943105689431, 'IPCALAB.NS': 0.16118388161183883, 'SEQUENT.NS': 0.08809119088091191, 'ZYDUSLIFE.NS': 0.24997500249975002}",79821.16,78310.02
2020-07-01,2020-08-03,"{'IOLCP.NS': 0.25, 'TIPSINDLTD.NS': 0.0261, 'GMMPFAUDLR.NS': 0.25, 'IPCALAB.NS': 0.0724, 'JBCHEPHARM.NS': 0.1942, 'INDIACEM.NS': 0.2073}",89404.88,87442.31
2020-08-03,2020-09-01,"{'PATANJALI.NS': 0.24997500249975002, 'CIPLA.NS': 0.09869013098690131, 'IOLCP.NS': 0.24997500249975002, 'EVEREADY.NS': 0.24997500249975002, 'IPCALAB.NS': 0.1513848615138486}",91095.67,88830.98
2020-09-01,2020-10-01,"{'TATACONSUM.NS': 0.11328867113288671, 'CIPLA.NS': 0.24997500249975002, 'AARTIDRUGS.NS': 0.24997500249975002, 'POWERINDIA.NS': 0.11638836116388361, 'HINDZINC.NS': 0.09809019098090192, 'SPLPETRO.NS': 0.17228277172282772}",99084.67,96333.37
2020-10-01,2020-11-02,"{'TANLA.NS': 0.25, 'BSOFT.NS': 0.25, 'MASTEK.NS': 0.25, 'DIXON.NS': 0.25}",104723.45,101547.58
