buy_date,sell_date,portfolio,investment_value,after rebalancing cost
2020-01-01,2020-04-01,"{'WHIRLPOOL.NS': 0.24997500249975002, 'RELAXO.NS': 0.24997500249975002, 'BERGEPAINT.NS': 0.24997500249975002, 'PHOENIXLTD.NS': 0.10218978102189781, 'ALKYLAMINE.NS': 0.045495450454954504, 'BALRAMCHIN.NS': 0.0432956704329567, 'NESTLEIND.NS': 0.0380961903809619, 'RELIANCE.NS': 0.020997900209979003}",85261.17,84941.17
2020-04-01,2020-07-01,"{'IPCALAB.NS': 0.24997500249975002, 'NAVINFLUOR.NS': 0.24997500249975002, 'JBCHEPHARM.NS': 0.17598240175982402, 'ABBOTINDIA.NS': 0.17368263173682633, 'GMMPFAUDLR.NS': 0.1503849615038496}",112429.78,111727.81
2020-07-01,2020-10-01,"{'ALKYLAMINE.NS': 0.25, 'ALOKINDS.NS': 0.25, 'GMMPFAUDLR.NS': 0.25, 'IOLCP.NS': 0.25}",120283.78,119232.77
2020-10-01,2021-01-01,"{'ALKYLAMINE.NS': 0.24997500249975002, 'IOLCP.NS': 0.24997500249975002, 'PAISALO.NS': 0.2104789521047895, 'TIINDIA.NS': 0.19528047195280474, 'COFORGE.NS': 0.0942905709429057}",151978.14,150295.19
2021-01-01,2021-04-01,"{'TECHM.NS': 0.21577842215778417, 'TIINDIA.NS': 0.1732826717328267, 'LTIM.NS': 0.16608339166083388, 'ASTRAL.NS': 0.1467853214678532, 'BAJFINANCE.NS': 0.09539046095390459, 'DEEPAKNTR.NS': 0.07409259074092589, 'PGHL.NS': 0.0640935906409359, 'COFORGE.NS': 0.06449355064493549}",182063.99,179583.88
2021-04-01,2021-07-01,"{'TIINDIA.NS': 0.2499500099980004, 'LINDEINDIA.NS': 0.2499500099980004, 'CGCL.NS': 0.16866626674665067, 'DEEPAKNTR.NS': 0.119376124775045, 'AAVAS.NS': 0.08058388322335533, 'SONATSOFTW.NS': 0.05208958208358328, 'ASTRAL.NS': 0.04339132173565287, 'ICICIBANK.NS': 0.035992801439712056}",200478.63,197235.67
2021-07-01,2021-10-01,"{'DALMIASUG.NS': 0.24997500249975002, 'ALKYLAMINE.NS': 0.23937606239376064, 'COSMOFIRST.NS': 0.2344765523447655, 'TRIVENI.NS': 0.20467953204679531, 'ADANIPOWER.NS': 0.0714928507149285}",222860.68,218750.67
2021-10-01,2022-01-03,"{'SRF.NS': 0.24997500249975002, 'SONATSOFTW.NS': 0.20457954204579543, 'JBCHEPHARM.NS': 0.13538646135386462, 'NAUKRI.NS': 0.12208779122087791, 'BALRAMCHIN.NS': 0.08289171082891711, 'ALKYLAMINE.NS': 0.08089191080891911, 'LALPATHLAB.NS': 0.07229277072292771, 'BAJFINANCE.NS': 0.051894810518948106}",222274.54,217599.34
2022-01-03,2022-04-01,"{'KPRMILL.NS': 0.24997500249975002, 'NEOGEN.NS': 0.20427957204279573, 'UNOMINDA.NS': 0.20117988201179882, 'TECHM.NS': 0.1305869413058694, 'SRF.NS': 0.09749025097490252, 'PERSISTENT.NS': 0.08749125087491251, 'GREENLAM.NS': 0.015098490150984903, 'KEI.NS': 0.013898610138986101}",204757.58,199890.82
2022-04-01,2022-07-01,"{'GREENPANEL.NS': 0.24997500249975002, 'JBMA.NS': 0.18718128187181282, 'TRIDENT.NS': 0.18188181181881813, 'RHIM.NS': 0.1436856314368563, 'TIPSINDLTD.NS': 0.09509049095090491, 'ADANIPOWER.NS': 0.08949105089491051, 'ADANIGREEN.NS': 0.0526947305269473}",174810.48,170158.51
2022-07-01,2022-10-03,"{'ADANIPOWER.NS': 0.24997500249975002, 'MAHLIFE.NS': 0.24997500249975002, 'BDL.NS': 0.24997500249975002, 'SHOPERSTOP.NS': 0.1315868413158684, 'DEEPAKFERT.NS': 0.05979402059794021, 'GAEL.NS': 0.05869413058694131}",227947.98,221377.94
2022-10-03,2023-01-02,"{'ELECON.NS': 0.24997500249975002, 'SCHAEFFLER.NS': 0.15998400159984003, 'ADANIPOWER.NS': 0.1514848515148485, 'FCL.NS': 0.1255874412558744, 'TDPOWERSYS.NS': 0.12148785121487851, 'TIINDIA.NS': 0.0735926407359264, 'VBL.NS': 0.06749325067493252, 'FINEORG.NS': 0.05039496050394961}",220963.89,214011.15
2023-01-02,2023-04-03,"{'ADANIENT.NS': 0.2499500099980004, 'SAFARI.NS': 0.2289542091581684, 'RHIM.NS': 0.15186962607478505, 'VBL.NS': 0.09608078384323136, 'CIEINDIA.NS': 0.08058388322335533, 'TIINDIA.NS': 0.07328534293141373, 'RAYMOND.NS': 0.060887822435512905, 'SHANTIGEAR.NS': 0.05838832233553289}",193482.27,186850.25
2023-04-03,2023-07-03,"{'CGPOWER.NS': 0.2499500099980004, 'KEI.NS': 0.14847030593881225, 'SIEMENS.NS': 0.2499500099980004, 'SUNDRMFAST.NS': 0.036892621475704865, 'VBL.NS': 0.2499500099980004, 'RATNAMANI.NS': 0.0647870425914817}",233738.13,225198.25
2023-07-03,2023-10-03,"{'SAKSOFT.NS': 0.25, 'TITAGARH.NS': 0.25, 'SAFARI.NS': 0.2348, 'APARINDS.NS': 0.1226, 'KEI.NS': 0.1177, 'ELECON.NS': 0.0249}",307609.8,295728.94
2023-10-03,2023-12-29,"{'PFC.NS': 0.19130000000000003, 'SAFARI.NS': 0.15750000000000003, 'NAVA.NS': 0.15780000000000002, 'POLYCAB.NS': 0.15830000000000002, 'APARINDS.NS': 0.14140000000000003, 'ELECON.NS': 0.06470000000000001, 'GRAVITA.NS': 0.06840000000000002, 'JSL.NS': 0.06060000000000001}",353636.55,339185.99
